session_id,global_rmsd,local_rmsd_5A,local_rmsd_8A,local_rmsd_10A,matched_residues_5A,matched_residues_8A,matched_residues_10A,radius_of_gyration_alphafold,radius_of_gyration_bound,PCA1,PCA2,cluster
0ee30de5,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599695,0.6176358907535012,0
12b262c1,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599701,0.617635890753501,0
1d8a4c4a,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599684,0.6176358907535013,0
2df7118a,26.976,12.984,13.759,14.802,37.0,93.0,122.0,30.216,24.885,7.814976587336638,1.2646071943264605,2
63f501bf,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
9be224ae,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
a075a953,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
a0f7899e,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
a3042ec0,15.705,10.208,12.564,14.135,0.0,0.0,0.0,13.103,24.92,-0.7717352026509244,-4.050081310652642,0
b9d74432,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
c6fca4cb,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
da1c5820,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
e037ddd6,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
e6f59e8e,23.83,0.0,0.0,0.0,0.0,0.0,0.0,21.914,20.652,1.4771667837939022,-5.243792463469334,1
f9c911e8,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
fdbb723f,23.83,15.49,19.064,21.447,0.0,0.0,0.0,21.914,20.652,-0.6554160129599704,0.6176358907535012,0
